PLAYER_NAME,PTS,AST,REB,STL,BLK,TOV,FG3A,FTA,MIN
Dario Šarić,10.371196754563895,1.9066937119675456,5.32657200811359,0.563894523326572,0.19675456389452334,1.462474645030426,3.5922920892494927,1.9939148073022313,22.470588235294116
Clint Capela,11.978915662650602,1.0180722891566265,10.519578313253012,0.677710843373494,1.4322289156626506,1.0602409638554218,0.009036144578313253,2.805722891566265,26.20933734939759
Bogdan Bogdanović,14.260437375745527,3.21272365805169,3.337972166998012,1.0039761431411531,0.2544731610337972,1.4294234592445327,6.4095427435387675,1.7157057654075547,28.427435387673956
Jusuf Nurkić,11.849152542372881,2.488135593220339,8.845762711864406,0.9084745762711864,1.0966101694915253,2.1372881355932205,0.7661016949152543,3.51864406779661,24.316949152542374
Vasilije Micić,6.841584158415841,3.8613861386138613,1.7524752475247525,0.45544554455445546,0.06930693069306931,1.7425742574257426,2.762376237623762,1.1485148514851484,19.405940594059405
Nikola Jokić,21.758389261744966,7.225503355704698,10.92751677852349,1.2738255033557047,0.7194630872483222,2.9208053691275166,3.0389261744966443,4.76510067114094,31.738255033557046
Kristaps Porziņģis,19.63872255489022,1.8223552894211577,7.7604790419161676,0.7285429141716567,1.81437125748503,1.6666666666666667,5.1836327345309385,4.772455089820359,30.746506986027946
Joe Ingles,7.914246196403873,3.5809128630705396,3.035961272475795,0.8603042876901799,0.1396957123098202,1.4633471645919778,4.15076071922545,0.8201936376210235,24.18118948824343
T.J. McConnell,7.643059490084986,5.01699716713881,2.909348441926346,1.2025495750708215,0.18838526912181303,1.594900849858357,0.7053824362606232,0.7464589235127479,21.137393767705383
Tyus Jones,7.696480938416422,4.431085043988269,2.0146627565982405,0.9780058651026393,0.09530791788856305,0.8167155425219942,2.687683284457478,0.8768328445747801,21.14956011730205
Delon Wright,6.671532846715328,2.9854014598540144,3.010948905109489,1.1952554744525548,0.34306569343065696,0.8704379562043796,1.895985401459854,1.416058394160584,20.39051094890511
D'Angelo Russell,17.278219395866454,5.701112877583466,3.3640699523052464,1.0588235294117647,0.32909379968203495,2.616852146263911,6.869634340222576,2.9491255961844196,29.80127186009539
Karl-Anthony Towns,23.069767441860463,3.158139534883721,11.063565891472868,0.8108527131782945,1.1953488372093024,2.705426356589147,4.325581395348837,5.263565891472868,34.06201550387597
Richaun Holmes,8.515337423312884,0.9795501022494888,5.329243353783231,0.49693251533742333,0.918200408997955,0.8302658486707567,0.3721881390593047,1.8650306748466257,19.134969325153374
Kelly Oubre Jr.,13.276335877862595,1.1404580152671755,4.629007633587786,1.047328244274809,0.49770992366412214,1.1114503816793893,4.6183206106870225,2.8427480916030534,27.08854961832061
Devin Booker,24.445765230312034,5.233283803863299,4.038632986627043,0.8573551263001485,0.2823179791976226,3.023774145616642,5.979197622585438,6.0059435364041605,34.39524517087667
